train loss,epoch,step,test loss,accuracy
0.9342119097709656,49,49,,
0.682929277420044,99,99,,
0.516473114490509,149,149,,
0.4225361943244934,199,199,,
0.3541184663772583,249,249,,
0.2900192439556122,299,299,,
0.23001021146774292,349,349,,
0.181450754404068,399,399,,
0.14687393605709076,449,449,,
0.12310881167650223,499,499,,
0.10670515149831772,549,549,,
0.09508945047855377,599,599,,
0.08664323389530182,649,649,,
0.08034177869558334,699,699,,
0.0755193680524826,749,749,,
0.07172732055187225,799,799,,
0.06869305670261383,849,849,,
0.0662674605846405,899,899,,
0.06430744379758835,949,949,,
0.06270423531532288,999,999,,
,1000,1000,0.07299939543008804,1.0
,1000,1000,0.07299939543008804,1.0
