train loss,epoch,step
1.0520684719085693,49,49
0.943093478679657,99,99
0.8295520544052124,149,149
0.7848825454711914,199,199
0.7394586205482483,249,249
0.6838285326957703,299,299
0.6418787837028503,349,349
0.6163634061813354,399,399
0.6010668277740479,449,449
0.5913785696029663,499,499
0.5848371386528015,549,549
0.5801821947097778,599,599
0.5767500400543213,649,649
0.5741226673126221,699,699
0.5720575451850891,749,749
0.5703919529914856,799,799
0.5690163969993591,849,849
0.5678564310073853,899,899
0.5668649673461914,949,949
0.5660030245780945,999,999
