validation loss,epoch,step,train loss,test loss,accuracy
1.1245249509811401,0,0,,,
1.1231732368469238,1,1,,,
1.1218352317810059,2,2,,,
1.120563268661499,3,3,,,
1.119312047958374,4,4,,,
1.118074893951416,5,5,,,
1.1168299913406372,6,6,,,
1.1155757904052734,7,7,,,
1.114321231842041,8,8,,,
1.1130586862564087,9,9,,,
1.1117984056472778,10,10,,,
1.110534429550171,11,11,,,
1.109262228012085,12,12,,,
1.1079761981964111,13,13,,,
1.1066690683364868,14,14,,,
1.1053521633148193,15,15,,,
1.1040327548980713,16,16,,,
1.1026967763900757,17,17,,,
1.1013462543487549,18,18,,,
1.0999939441680908,19,19,,,
1.098638653755188,20,20,,,
1.0972777605056763,21,21,,,
1.0959186553955078,22,22,,,
1.0945767164230347,23,23,,,
1.0932554006576538,24,24,,,
1.0919333696365356,25,25,,,
1.0905951261520386,26,26,,,
1.0892479419708252,27,27,,,
1.0878901481628418,28,28,,,
1.0865156650543213,29,29,,,
1.0851190090179443,30,30,,,
1.0837032794952393,31,31,,,
1.082271933555603,32,32,,,
1.0808218717575073,33,33,,,
1.079349398612976,34,34,,,
1.0778502225875854,35,35,,,
1.0763304233551025,36,36,,,
1.074785828590393,37,37,,,
1.073216199874878,38,38,,,
1.0716403722763062,39,39,,,
1.0700558423995972,40,40,,,
1.0684685707092285,41,41,,,
1.066863775253296,42,42,,,
1.065239429473877,43,43,,,
1.0635865926742554,44,44,,,
1.0619051456451416,45,45,,,
1.0601965188980103,46,46,,,
1.0584720373153687,47,47,,,
1.0567365884780884,48,48,,,
,49,49,1.0567364692687988,,
1.0549988746643066,49,49,,,
1.0532448291778564,50,50,,,
1.051476240158081,51,51,,,
1.049697995185852,52,52,,,
1.047895073890686,53,53,,,
1.046061635017395,54,54,,,
1.0441960096359253,55,55,,,
1.0422998666763306,56,56,,,
1.0403714179992676,57,57,,,
1.0384056568145752,58,58,,,
1.036410927772522,59,59,,,
1.0343961715698242,60,60,,,
1.0323987007141113,61,61,,,
1.0304099321365356,62,62,,,
1.0284266471862793,63,63,,,
1.0264586210250854,64,64,,,
1.0244839191436768,65,65,,,
1.0224910974502563,66,66,,,
1.0205118656158447,67,67,,,
1.018546223640442,68,68,,,
1.0165828466415405,69,69,,,
1.0145995616912842,70,70,,,
1.0125948190689087,71,71,,,
1.010570764541626,72,72,,,
1.008530855178833,73,73,,,
1.0064632892608643,74,74,,,
1.0043691396713257,75,75,,,
1.002245306968689,76,76,,,
1.0000929832458496,77,77,,,
0.9979130625724792,78,78,,,
0.9957072138786316,79,79,,,
0.99347984790802,80,80,,,
0.9912319779396057,81,81,,,
0.9889663457870483,82,82,,,
0.9866814017295837,83,83,,,
0.984376072883606,84,84,,,
0.9820541739463806,85,85,,,
0.97971510887146,86,86,,,
0.9773567318916321,87,87,,,
0.9749734997749329,88,88,,,
0.9725695252418518,89,89,,,
0.970143735408783,90,90,,,
0.9676951169967651,91,91,,,
0.9652253985404968,92,92,,,
0.9627334475517273,93,93,,,
0.960219144821167,94,94,,,
0.9576842784881592,95,95,,,
0.9551275372505188,96,96,,,
0.9525517225265503,97,97,,,
0.9499551057815552,98,98,,,
,99,99,0.9499550461769104,,
0.9473372101783752,99,99,,,
0.944700300693512,100,100,,,
0.9420459866523743,101,101,,,
0.9393715262413025,102,102,,,
0.9366780519485474,103,103,,,
0.9339655041694641,104,104,,,
0.9312354922294617,105,105,,,
0.928488552570343,106,106,,,
0.9257233738899231,107,107,,,
0.9229408502578735,108,108,,,
0.9201410412788391,109,109,,,
0.9173258543014526,110,110,,,
0.9144954681396484,111,111,,,
0.9116498827934265,112,112,,,
0.9087888598442078,113,113,,,
0.9059123992919922,114,114,,,
0.9030207991600037,115,115,,,
0.9001144170761108,116,116,,,
0.8971933126449585,117,117,,,
0.8942577838897705,118,118,,,
0.8913081884384155,119,119,,,
0.8883445858955383,120,120,,,
0.885367214679718,121,121,,,
0.8823779225349426,122,122,,,
0.8793823719024658,123,123,,,
0.8763830661773682,124,124,,,
0.8733783960342407,125,125,,,
0.8703672289848328,126,126,,,
0.8673496246337891,127,127,,,
0.8643229007720947,128,128,,,
0.8612889051437378,129,129,,,
0.8582479357719421,130,130,,,
0.8552064895629883,131,131,,,
0.8521618247032166,132,132,,,
0.8491243720054626,133,133,,,
0.8460988998413086,134,134,,,
0.84316086769104,135,135,,,
0.8402183055877686,136,136,,,
0.8372724056243896,137,137,,,
0.8343319296836853,138,138,,,
0.8313912153244019,139,139,,,
0.8284521698951721,140,140,,,
0.8255161046981812,141,141,,,
0.8225836157798767,142,142,,,
0.819656491279602,143,143,,,
0.8167349696159363,144,144,,,
0.8138214349746704,145,145,,,
0.8109199404716492,146,146,,,
0.8080275058746338,147,147,,,
0.8051456809043884,148,148,,,
,149,149,0.8051456809043884,,
0.8022754192352295,149,149,,,
0.7994202971458435,150,150,,,
0.7965778112411499,151,151,,,
0.7937498688697815,152,152,,,
0.7909385561943054,153,153,,,
0.7881433963775635,154,154,,,
0.7853633761405945,155,155,,,
0.7825977802276611,156,156,,,
0.7798455357551575,157,157,,,
0.7771099209785461,158,158,,,
0.774388313293457,159,159,,,
0.7716850638389587,160,160,,,
0.7689999938011169,161,161,,,
0.7663318514823914,162,162,,,
0.7636821269989014,163,163,,,
0.7610599994659424,164,164,,,
0.7584545612335205,165,165,,,
0.7558659911155701,166,166,,,
0.7532947063446045,167,167,,,
0.7507473826408386,168,168,,,
0.7482160329818726,169,169,,,
0.7457010746002197,170,170,,,
0.7432041168212891,171,171,,,
0.7407258749008179,172,172,,,
0.73826664686203,173,173,,,
0.7358254194259644,174,174,,,
0.7334010601043701,175,175,,,
0.7309958934783936,176,176,,,
0.7286099195480347,177,177,,,
0.7262452244758606,178,178,,,
0.7239019870758057,179,179,,,
0.7215753197669983,180,180,,,
0.7192662954330444,181,181,,,
0.7169771194458008,182,182,,,
0.7147091627120972,183,183,,,
0.7124579548835754,184,184,,,
0.7102243304252625,185,185,,,
0.7080078721046448,186,186,,,
0.7058089971542358,187,187,,,
0.7036266922950745,188,188,,,
0.7014606595039368,189,189,,,
0.6993108987808228,190,190,,,
0.6971806287765503,191,191,,,
0.6950671672821045,192,192,,,
0.6929693222045898,193,193,,,
0.6908887624740601,194,194,,,
0.6888238191604614,195,195,,,
0.6867740154266357,196,196,,,
0.6847395300865173,197,197,,,
0.6827197670936584,198,198,,,
,199,199,0.6827197670936584,,
0.6807163953781128,199,199,,,
0.6787286400794983,200,200,,,
0.6767588257789612,201,201,,,
0.6748062372207642,202,202,,,
0.6728678345680237,203,203,,,
0.670943558216095,204,204,,,
0.6690347790718079,205,205,,,
0.6671440005302429,206,206,,,
0.6652707457542419,207,207,,,
0.6634128093719482,208,208,,,
0.6615663766860962,209,209,,,
0.6597313284873962,210,210,,,
0.6579076647758484,211,211,,,
0.6560972929000854,212,212,,,
0.6543027758598328,213,213,,,
0.652521550655365,214,214,,,
0.6507534384727478,215,215,,,
0.6489958167076111,216,216,,,
0.6472505927085876,217,217,,,
0.6455188393592834,218,218,,,
0.6438010334968567,219,219,,,
0.6420948505401611,220,220,,,
0.6403999924659729,221,221,,,
0.6387163996696472,222,222,,,
0.6370436549186707,223,223,,,
0.6353791952133179,224,224,,,
0.6337224841117859,225,225,,,
0.6320729851722717,226,226,,,
0.6304298639297485,227,227,,,
0.6288079619407654,228,228,,,
0.6271932125091553,229,229,,,
0.6255897879600525,230,230,,,
0.6239930987358093,231,231,,,
0.6224018931388855,232,232,,,
0.6208170652389526,233,233,,,
0.6192415952682495,234,234,,,
0.617676854133606,235,235,,,
0.6161291599273682,236,236,,,
0.6145879626274109,237,237,,,
0.6130533218383789,238,238,,,
0.6115257143974304,239,239,,,
0.6100021600723267,240,240,,,
0.6084842681884766,241,241,,,
0.6069751381874084,242,242,,,
0.6054745316505432,243,243,,,
0.603982150554657,244,244,,,
0.6024949550628662,245,245,,,
0.6010159254074097,246,246,,,
0.5995437502861023,247,247,,,
0.5980774164199829,248,248,,,
,249,249,0.5980774164199829,,
0.596619725227356,249,249,,,
0.5951672196388245,250,250,,,
0.5937188267707825,251,251,,,
0.5922785997390747,252,252,,,
0.5908451080322266,253,253,,,
0.5894192457199097,254,254,,,
0.5879983305931091,255,255,,,
0.5865830183029175,256,256,,,
0.5851726531982422,257,257,,,
0.5837675333023071,258,258,,,
0.5823680758476257,259,259,,,
0.5809734463691711,260,260,,,
0.5795831084251404,261,261,,,
0.578196108341217,262,262,,,
0.5768137574195862,263,263,,,
0.5754407048225403,264,264,,,
0.574070155620575,265,265,,,
0.5727025866508484,266,266,,,
0.5713386535644531,267,267,,,
0.5699787139892578,268,268,,,
0.5686225891113281,269,269,,,
0.5672791004180908,270,270,,,
0.5659650564193726,271,271,,,
0.5646514296531677,272,272,,,
0.5633373856544495,273,273,,,
0.5620223879814148,274,274,,,
0.5607056021690369,275,275,,,
0.5593863725662231,276,276,,,
0.5580644607543945,277,277,,,
0.5567455887794495,278,278,,,
0.555424153804779,279,279,,,
0.5541000366210938,280,280,,,
0.5527727007865906,281,281,,,
0.5514412522315979,282,282,,,
0.550102174282074,283,283,,,
