validation loss,epoch,step,train loss,test loss,accuracy
1.0767874717712402,9,39,,,
,12,49,1.0873018503189087,,
1.0042579174041748,19,79,,,
,24,99,0.9590662121772766,,
0.904911458492279,29,119,,,
,37,149,0.8448035717010498,,
0.7820087671279907,39,159,,,
,49,199,0.6328611969947815,,
0.6615737080574036,49,199,,,
0.5624923706054688,59,239,,,
,62,249,0.6203041672706604,,
0.4942435622215271,69,279,,,
,74,299,0.538297176361084,,
0.4405879080295563,79,319,,,
,87,349,0.4602901041507721,,
0.39475974440574646,89,359,,,
,99,399,0.3179198205471039,,
0.3529610335826874,99,399,,,
0.3138675093650818,109,439,,,
,112,449,0.3202033042907715,,
0.27758315205574036,119,479,,,
,124,499,0.22653673589229584,,
0.24464212357997894,129,519,,,
,137,549,0.28041037917137146,,
0.2162228673696518,139,559,,,
,149,599,0.12919293344020844,,
0.19278497993946075,149,599,,,
0.17353136837482452,159,639,,,
,162,649,0.10872086137533188,,
0.15732568502426147,169,679,,,
,174,699,0.12287815660238266,,
0.1443207710981369,179,719,,,
,180,720,,0.10041321814060211,0.9666666388511658
