train loss,epoch,step
1.0899968147277832,49,49
1.0601402521133423,99,99
0.9810718297958374,149,149
0.880806028842926,199,199
0.8310685753822327,249,249
0.7920182347297668,299,299
0.7385087609291077,349,349
0.6753605604171753,399,399
0.6344086527824402,449,449
0.6130028963088989,499,499
0.6011320352554321,549,549
0.5938250422477722,599,599
0.5889492630958557,649,649
0.5854739546775818,699,699
0.5828838348388672,749,749
0.5808809399604797,799,799
0.5792663097381592,849,849
0.5779302716255188,899,899
0.5768117904663086,949,949
0.5758674144744873,999,999
