train loss,epoch,step
1.0448253154754639,49,49
0.9415367841720581,99,99
0.8551962971687317,149,149
0.7958281636238098,199,199
0.7300412058830261,249,249
0.6863346695899963,299,299
0.654224693775177,349,349
0.63299560546875,399,399
0.6191726326942444,449,449
0.6098578572273254,499,499
0.603302001953125,549,549
0.5985082387924194,599,599
0.5948809385299683,649,649
0.5920422673225403,699,699
0.5897627472877502,749,749
0.5878915190696716,799,799
0.5863303542137146,849,849
0.5850027799606323,899,899
0.5838582515716553,949,949
0.5828619003295898,999,999
