train loss,epoch,step
1.0461525917053223,49,49
0.931728184223175,99,99
0.7656210660934448,149,149
0.5881299376487732,199,199
0.4666389524936676,249,249
0.3853786885738373,299,299
0.31837230920791626,349,349
0.2593420445919037,399,399
0.21039043366909027,449,449
0.17290166020393372,499,499
0.1454172432422638,549,549
0.12547025084495544,599,599
0.1108611449599266,649,649
0.09996841102838516,699,699
0.09167657792568207,749,749
0.08523230254650116,799,799
0.08012311160564423,849,849
0.07592619955539703,899,899
0.07250300794839859,949,949
0.06966008245944977,999,999
