train loss,epoch,step
1.017727017402649,12,49
0.9647946357727051,24,99
0.916799008846283,37,149
0.7948532104492188,49,199
0.558757483959198,62,249
0.49767816066741943,74,299
0.4464994966983795,87,349
0.48374223709106445,99,399
0.40834763646125793,112,449
0.38703790307044983,124,499
0.3258897364139557,137,549
0.2814643085002899,149,599
0.2555803954601288,162,649
0.26664236187934875,174,699
0.27217015624046326,187,749
0.23824727535247803,199,799
0.2475520670413971,212,849
0.20226949453353882,224,899
0.2308218777179718,237,949
0.13493667542934418,249,999
0.15589195489883423,262,1049
0.22011810541152954,274,1099
0.0768427774310112,287,1149
0.046403512358665466,299,1199
0.11106929928064346,312,1249
0.07403909415006638,324,1299
0.05144663527607918,337,1349
0.10952728241682053,349,1399
0.0805526077747345,362,1449
0.15083572268486023,374,1499
0.14300960302352905,387,1549
0.060311753302812576,399,1599
0.06186554208397865,412,1649
0.08406847715377808,424,1699
0.17665210366249084,437,1749
0.03573169931769371,449,1799
0.10420163720846176,462,1849
0.06052723526954651,474,1899
0.0328342542052269,487,1949
0.029390864074230194,499,1999
0.02185196243226528,512,2049
0.09780711680650711,524,2099
0.10078504681587219,537,2149
0.06969054043292999,549,2199
0.04610932990908623,562,2249
0.16634318232536316,574,2299
0.0596594400703907,587,2349
0.02517620660364628,599,2399
0.06013133004307747,612,2449
0.038500234484672546,624,2499
0.039987824857234955,637,2549
0.059430066496133804,649,2599
0.1192738339304924,662,2649
0.03972671553492546,674,2699
0.03787470981478691,687,2749
0.10220586508512497,699,2799
0.028811346739530563,712,2849
0.010501772165298462,724,2899
0.11504920572042465,737,2949
0.11610711365938187,749,2999
0.029590217396616936,762,3049
0.017246369272470474,774,3099
0.11048617959022522,787,3149
0.17161190509796143,799,3199
0.03623008728027344,812,3249
0.045484382659196854,824,3299
0.02767198532819748,837,3349
0.03240068629384041,849,3399
0.10468468815088272,862,3449
0.021105127409100533,874,3499
0.04303359240293503,887,3549
0.0075576468370854855,899,3599
0.02616240829229355,912,3649
0.13759805262088776,924,3699
0.0236411951482296,937,3749
0.04187919199466705,949,3799
0.04174201935529709,962,3849
0.05540681257843971,974,3899
0.13291926681995392,987,3949
0.04665534570813179,999,3999
0.09254701435565948,1012,4049
0.03336074575781822,1024,4099
0.009205961599946022,1037,4149
0.048954423516988754,1049,4199
0.04477850720286369,1062,4249
0.11363095790147781,1074,4299
0.09674333035945892,1087,4349
0.1434490978717804,1099,4399
0.09094042330980301,1112,4449
0.021121395751833916,1124,4499
0.013173544779419899,1137,4549
0.11482888460159302,1149,4599
0.1166284829378128,1162,4649
0.053748056292533875,1174,4699
0.025389323011040688,1187,4749
