validation loss,epoch,step,train loss,test loss,accuracy
1.0467718839645386,4,19,,,
1.0018271207809448,9,39,,,
,12,49,0.9516718983650208,,
0.9548060894012451,14,59,,,
0.9108229875564575,19,79,,,
,24,99,0.838684618473053,,
0.8625538945198059,24,99,,,
0.8101360201835632,29,119,,,
0.7541502714157104,34,139,,,
,37,149,0.7688289880752563,,
0.696968674659729,39,159,,,
0.6430022120475769,44,179,,,
,49,199,0.5776676535606384,,
0.5930230617523193,49,199,,,
0.5482012033462524,54,219,,,
0.5089141130447388,59,239,,,
,62,249,0.4175117611885071,,
0.4741481840610504,64,259,,,
0.4435962736606598,69,279,,,
,74,299,0.397716760635376,,
0.4166426956653595,74,299,,,
0.3926173448562622,79,319,,,
0.37091535329818726,84,339,,,
,87,349,0.36465319991111755,,
0.35125648975372314,89,359,,,
0.3329242467880249,94,379,,,
,99,399,0.22033047676086426,,
0.3155820667743683,99,399,,,
0.2994879186153412,104,419,,,
0.2843141555786133,109,439,,,
,112,449,0.299367755651474,,
0.27010706067085266,114,459,,,
,115,460,,0.29150453209877014,0.9666666388511658
